k=7 : a=40, b=112, c=72, length = 448, b == a+c - True, <lcm - True
k=7 : a=52, b=112, c=60, length = 448, b == a+c - True, <lcm - True
k=7 : a=60, b=112, c=52, length = 448, b == a+c - True, <lcm - True
k=7 : a=72, b=112, c=40, length = 448, b == a+c - True, <lcm - True
k=7 : a=100, b=112, c=12, length = 448, b == a+c - True, <lcm - True
k=7 : a=30, b=114, c=84, length = 456, b == a+c - True, <lcm - True
k=7 : a=84, b=114, c=30, length = 456, b == a+c - True, <lcm - True
k=7 : a=56, b=116, c=60, length = 464, b == a+c - True, <lcm - True
k=7 : a=60, b=116, c=56, length = 464, b == a+c - True, <lcm - True
k=7 : a=48, b=118, c=70, length = 472, b == a+c - True, <lcm - True
k=7 : a=70, b=118, c=48, length = 472, b == a+c - True, <lcm - True
k=7 : a=59, b=119, c=60, length = 476, b == a+c - True, <lcm - True
k=7 : a=60, b=119, c=59, length = 476, b == a+c - True, <lcm - True
k=7 : a=1, b=120, c=119, length = 480, b == a+c - True, <lcm - True
k=7 : a=7, b=120, c=113, length = 480, b == a+c - True, <lcm - True
k=7 : a=8, b=120, c=112, length = 480, b == a+c - True, <lcm - True
k=7 : a=14, b=120, c=106, length = 480, b == a+c - True, <lcm - True
k=7 : a=15, b=120, c=105, length = 480, b == a+c - True, <lcm - True
k=7 : a=21, b=120, c=99, length = 480, b == a+c - True, <lcm - True
k=7 : a=22, b=120, c=98, length = 480, b == a+c - True, <lcm - True
k=7 : a=28, b=120, c=92, length = 480, b == a+c - True, <lcm - True
k=7 : a=29, b=120, c=91, length = 480, b == a+c - True, <lcm - True
k=7 : a=35, b=120, c=85, length = 480, b == a+c - True, <lcm - True
k=7 : a=36, b=120, c=84, length = 480, b == a+c - True, <lcm - True
k=7 : a=42, b=120, c=78, length = 480, b == a+c - True, <lcm - True
k=7 : a=43, b=120, c=77, length = 480, b == a+c - True, <lcm - True
k=7 : a=49, b=120, c=71, length = 480, b == a+c - True, <lcm - True
k=7 : a=50, b=120, c=70, length = 480, b == a+c - True, <lcm - True
